Merchant,Status,Since/Approved,Vertical,Commission,Cookie / Recurrence,PPC Policy,Notable notes
anticexlibris.ro,Approved,02.11.2025,"Books, stationery, toys (discount books)",7%,30 days,FB/IG/Google Ads OK; NO brand bidding,2 physical stores Bucharest; ~30k titles; free Ship&Go promo (historic); free shipping >200 lei; avg basket ~120 lei; extra bonuses & challenges
asus.com (ASUS Romania eShop),Approved,08.08.2024,Electronics (ASUS official store),3%,30 days,PPC & CSS allowed; NO brand bidding; NO price/product aggregators,Free delivery; 14‑day return; high‑ticket items; affiliate support; instalments available
automobilus.ro,Approved,22.05.2025,"Auto parts & accessories, detailing",,,Any promotion accepted (per description),AOV ~€55 ex VAT; return rate <1%; extra feeds on request
bazarulonline.ro,Approved,22.05.2025,B2B/wholesale marketplace,5% orders; 200 lei per supplier signup,30 days,Allowed; general promotion channels OK,EU shipping; daily new products; fast delivery 24–48h; vendor signup bounty
cupio.ro,Approved,22.05.2025,"Beauty (nails, cosmetics)",,,Google Search allowed with a long negative‑brand keyword list,12k+ products; 21 stores; provides restricted keywords list
esteto.ro,Approved,02.11.2025,"Marketplace: beauty, books, toys, fashion, medical, etc.",5%,1 month (30 days),Not specified,AOV ~200 lei; 94% commission approval rate; broad stock; 2–5 business day delivery
evomag.ro,Approved,22.05.2025,Electronics & IT,See grid (varies by category),Not stated,Not stated,Commissions approved in ≤15 days; pays weekly; 15+ product feeds; long‑standing program
flanco.ro,Approved,22.05.2025,Electronics & appliances,1–10% (by category),45 days,STRICT: no PPC brand bidding; social ads allowed on personal accounts with limits,Smart delivery options; various service extras; extensive policy section; feeds/banners official only
intimax.ro,Approved,22.05.2025,Adult products,,,Not stated,AOV 120–150 lei; COD & Easybox; 56% women buyers
kitunghii.ro,Approved,29.05.2025,Nails & beauty equipment,15% (7.5% corporate/companies),30 days,NO Google Ads; Paid Social allowed incl. FB Ads; many content/site restrictions,Product images allowed; no public‑figure imagery; strict brand/page naming rules
librariadelfin.ro,Approved,02.11.2025,Bookstore,9%,10 days,NO PPC (Facebook/AdWords etc.),Real‑time feeds; fast delivery; strong discounts
librex.ro,Approved,22.05.2025,Bookstore & publisher,10%,30 days,Not specified,Delivery ≤48h; frequent stock clearances; free‑shipping campaigns; loyalty program
libris.ro,Approved,09.12.2024,Large online bookstore,8%,10 days,NO PPC (Google Ads),Daily updated feeds; weekly payouts; major title coverage RO+EN
luxurybeauty.ro,Approved,22.05.2025,Premium haircare,,30 days,Not specified,Return rate <3%; free shipping over threshold; seasonal promos
manukashop.ro,Approved,22.05.2025,Manuka honey (Manuka Health),,,Not stated,CR ~5.8%; AOV ~240 RON; ongoing promos; direct importer
minuneanaturii.ro,Approved,02.11.2025,"Natural pharmacy, supplements, BIO foods",,,Not stated,33k products; avg delivery 2.5 days; transparent stock; promos & free shipping options
obio.ro,Approved,02.11.2025,"BIO products (food, cosmetics, detergents)",,,Not stated,95%+ BIO catalogue; permanent stock on thousands of SKUs
otter.ro,Approved,22.05.2025,Footwear & accessories (multi‑brand),10% full‑price / 5% discounted,Not stated,Not stated,AOV ~320 RON; 78% mobile; 71% women; daily‑updated feed; analytics access on request
picadili.ro,Approved,22.05.2025,Fashion accessories,,,Not stated,Delivery 24h; free return 30 days; free shipping >190 RON; loyalty points 10%
powerlaptop.ro,Approved (closing),20.09.2024,Laptop/phone components,,,Not stated,PROGRAM ENDS 30 Aug 2025; promotion tools will be inactive after that date
scule365.ro,Approved,02.11.2025,Tools / DIY,,,Not stated,
springfarma.com,Approved,14.10.2024,Pharmacy / health products,,,Not stated,
topstar.ro,Approved,06.08.2024,Office supplies / stationery (assumed),,,Not stated,
